fid,PCD,PCD_Source,X_BNG,Y_BNG,X_IG,Y_IG,X_Latitude,Y_Longitud,Total_Pers,Females,Males,Occupied_H,LSOA_DZ_Co,LSOA_DZ_Na,OA_SA_Code,OAC_Superg,OAC_Supe_1,OAC_Group_,OAC_Goup_N,OAC_Subgro,OAC_Subg_1,WIMD_2014_,EIMD_2015_,EIMD_201_1,EIMD_201_2,SIMD_2016_,NIMDM_2017,LSOA_DZ_To,LSOA_DZ__1,OA_SA_Town,OA_SA_To_1,field_32,field_33,field_34,utd-pop,icon_url
10410,BR7 5LW,ONS,542316,169800,0,0,0.044877700000000,51.409370000000003,30,13,17,9,E01000645,Bromley 007A,E00003117,"5",Urbanites,5b,Ageing Urban Living,5b1,Delayed Retirement,,"3","31974",10,,,-5.066045537000000,1.000000000000000,-3.388364814000000,1.000000000000000,,,,"33",./1.png
10478,BR7 5SA,ONS,542348,169975,0,0,0.045407670000000,51.410930000000000,28,13,15,11,E01000645,Bromley 007A,E00003128,"6",Suburbanites,6a,Suburban Achievers,6a1,Indian Tech Achievers,,"3","31974",10,,,-5.066045537000000,1.000000000000000,-3.925900802000000,1.000000000000000,,,,"31",./0.png
6717,BR2 8AH,ONS,542558,167574,0,0,0.047461380000000,51.389310000000002,42,20,22,16,E01000662,Bromley 026B,E00003201,"5",Urbanites,5b,Ageing Urban Living,5b1,Delayed Retirement,,"18","15760",5,,,0.427799923000000,3.000000000000000,0.613565905000000,4.000000000000000,,,,"46",./1.png
6718,BR2 8AJ,ONS,542420,167552,0,0,0.045470580000000,51.389139999999998,61,33,28,20,E01000662,Bromley 026B,E00003202,"5",Urbanites,5a,Urban Professionals and Families,5a2,Multi-Ethnic Professionals with Families,,"18","15760",5,,,0.427799923000000,3.000000000000000,-1.137566914000000,3.000000000000000,,,,"67",./4.png
6719,BR2 8AL,ONS,542401,167626,0,0,0.045227350000000,51.389820000000000,46,28,18,14,E01000661,Bromley 026A,E00003196,"4",Multicultural Metropolitans,4a,Rented Family Living,4a3,Commuters with Young Families,,"50","2184",1,,,4.503961173000000,5.000000000000000,2.271492856000000,4.000000000000000,,,,"50",./1.png
6721,BR2 8AP,ONS,542395,167675,0,0,0.045160810000000,51.390250000000002,67,32,35,25,E01000652,Bromley 022B,E00003125,"5",Urbanites,5a,Urban Professionals and Families,5a2,Multi-Ethnic Professionals with Families,,"4","30316",10,,,-3.944715601000000,1.000000000000000,-3.852730587000000,1.000000000000000,,,,"73",./4.png
6722,BR2 8AQ,ONS,542315,167650,0,0,0.044001800000000,51.390050000000002,12,8,4,8,E01000652,Bromley 022B,E00003125,"5",Urbanites,5a,Urban Professionals and Families,5a2,Multi-Ethnic Professionals with Families,,"4","30316",10,,,-3.944715601000000,1.000000000000000,-3.852730587000000,1.000000000000000,,,,"13",./0.png
6733,BR2 8BE,ONS,542316,167672,0,0,0.044024970000000,51.390250000000002,14,9,5,8,E01000652,Bromley 022B,E00003125,"5",Urbanites,5a,Urban Professionals and Families,5a2,Multi-Ethnic Professionals with Families,,"4","30316",10,,,-3.944715601000000,1.000000000000000,-3.852730587000000,1.000000000000000,,,,"15",./0.png
6778,BR2 8EN,ONS,542459,167461,0,0,0.045994220000000,51.388320000000000,48,25,23,20,E01000662,Bromley 026B,E00003202,"5",Urbanites,5a,Urban Professionals and Families,5a2,Multi-Ethnic Professionals with Families,,"18","15760",5,,,0.427799923000000,3.000000000000000,-1.137566914000000,3.000000000000000,,,,"53",./1.png
6779,BR2 8EP,ONS,542509,167391,0,0,0.046684250000000,51.387680000000003,79,38,41,27,E01000662,Bromley 026B,E00003202,"5",Urbanites,5a,Urban Professionals and Families,5a2,Multi-Ethnic Professionals with Families,,"18","15760",5,,,0.427799923000000,3.000000000000000,-1.137566914000000,3.000000000000000,,,,"86",./3.png
6781,BR2 8ER,ONS,542572,167219,0,0,0.047520030000000,51.386119999999998,112,61,51,40,E01000662,Bromley 026B,E00003201,"5",Urbanites,5b,Ageing Urban Living,5b1,Delayed Retirement,,"18","15760",5,,,0.427799923000000,3.000000000000000,0.613565905000000,4.000000000000000,,,,"123",./2.png
6782,BR2 8ES,ONS,542443,167210,0,0,0.045663830000000,51.386069999999997,81,37,44,31,E01000662,Bromley 026B,E00003198,"4",Multicultural Metropolitans,4a,Rented Family Living,4a3,Commuters with Young Families,,"18","15760",5,,,0.427799923000000,3.000000000000000,0.337467509000000,3.000000000000000,,,,"89",./3.png
6783,BR2 8ET,ONS,542473,167133,0,0,0.046063800000000,51.385370000000002,21,9,12,8,E01000662,Bromley 026B,E00003201,"5",Urbanites,5b,Ageing Urban Living,5b1,Delayed Retirement,,"18","15760",5,,,0.427799923000000,3.000000000000000,0.613565905000000,4.000000000000000,,,,"23",./0.png
6784,BR2 8EU,ONS,542468,167231,0,0,0.046031280000000,51.386249999999997,31,16,15,12,E01000662,Bromley 026B,E00003201,"5",Urbanites,5b,Ageing Urban Living,5b1,Delayed Retirement,,"18","15760",5,,,0.427799923000000,3.000000000000000,0.613565905000000,4.000000000000000,,,,"34",./1.png
6785,BR2 8EW,ONS,542504,167448,0,0,0.046635290000000,51.388190000000002,69,33,36,34,E01000662,Bromley 026B,E00003202,"5",Urbanites,5a,Urban Professionals and Families,5a2,Multi-Ethnic Professionals with Families,,"18","15760",5,,,0.427799923000000,3.000000000000000,-1.137566914000000,3.000000000000000,,,,"75",./4.png
